Ticker,Date,Amount,Amount_Usdt,Commission,Side,Price,Profit,Total_Profit,Total_Average_Buy_Price,Total_Amount
BTCUSDT,2024-01-05 17:23:40,0.0023,99.813123,2.3e-06,Buy,43397.01,,,,
BTCUSDT,2024-01-05 17:54:16,0.00229,99.844,0.099844,Sell,43600.0,0.3650030999999814,,,
BTCUSDT,2024-01-06 11:51:51,0.002,87.31198,2e-06,Buy,43655.99,,,,
BTCUSDT,2024-01-06 14:12:22,0.002,87.6,0.0876,Sell,43800.0,0.20042000000000826,,,
BTCUSDT,2024-01-09 22:37:13,0.004,183.88244,4e-06,Buy,45970.61,,,,
BTCUSDT,2024-01-10 16:40:46,0.002,90.91596,2e-06,Buy,45457.98,,,,
BTCUSDT,2024-01-10 17:29:28,0.002,91.4,0.0914,Sell,45700.0,0.3926400000000143,,,
BTCUSDT,2024-01-10 18:30:45,0.002,93.0,0.093,Sell,46500.0,1.9910399999999981,,,
BTCUSDT,2024-01-10 23:05:20,0.002,94.0,0.094,Sell,47000.0,2.9900400000000076,,,
BTCUSDT,2024-01-11 21:47:30,0.002,92.37518,2e-06,Buy,46187.59,,,,
BTCUSDT,2024-01-14 22:35:17,0.001,42.15999,1e-06,Buy,42159.99,,,,
BTCUSDT,2024-01-15 18:25:53,0.001,43.0,0.043,Sell,43000.0,0.7970100000000002,,,
BTCUSDT,2024-01-20 17:42:49,0.00029,12.0497697,2.9e-07,Buy,41550.93,,,,
BTCUSDT,2024-01-20 17:54:58,0.00029,12.0610971,0.0120611,Sell,41589.99,-0.0007337000000013916,,,
BTCUSDT,2024-01-20 18:10:36,0.00024,9.9669456,2.4e-07,Buy,41528.94,,,,
BTCUSDT,2024-01-20 18:17:18,0.00029,12.0494043,0.0120494,Sell,41549.67,-0.006037700000002033,,,
BTCUSDT,2024-01-20 18:26:44,0.00029,12.06632,2.9e-07,Buy,41608.0,,,,
BTCUSDT,2024-01-20 18:37:06,0.00024,9.989676,0.00998968,Sell,41623.65,-0.006233679999999353,6.723148020000007,44655.92834985835,0.0020099999999999996
